in s,C1 in V
-3.0187184E-03,1.18713E+01
-3.0186720E-03,9.57637E+00
-3.0186256E-03,6.98848E+00
-3.0185792E-03,4.20527E+00
-3.0185328E-03,1.37324E+00
-3.0184864E-03,-1.89824E+00
-3.0184400E-03,-4.77910E+00
-3.0183936E-03,-7.22051E+00
-3.0183472E-03,-9.17363E+00
-3.0183008E-03,-1.05408E+01
-3.0182544E-03,-1.08826E+01
-3.0182080E-03,-9.71074E+00
-3.0181616E-03,-7.22051E+00
-3.0181152E-03,-5.36504E+00
-3.0180688E-03,-5.70684E+00
-3.0180224E-03,-7.70879E+00
-3.0179760E-03,-8.88066E+00
-3.0179296E-03,-8.49004E+00
-3.0178832E-03,-7.17168E+00
-3.0178368E-03,-6.34160E+00
-3.0177904E-03,-6.63457E+00
-3.0177440E-03,-6.97637E+00
-3.0176976E-03,-6.82988E+00
-3.0176512E-03,-6.58574E+00
-3.0176048E-03,-6.43926E+00
-3.0175584E-03,-6.92754E+00
-3.0175120E-03,-6.73223E+00
-3.0174656E-03,-6.39043E+00
-3.0174192E-03,-5.75566E+00
-3.0173728E-03,-5.85332E+00
-3.0173264E-03,-6.19512E+00
-3.0172800E-03,-5.99980E+00
-3.0172336E-03,-5.60918E+00
-3.0171872E-03,-5.41387E+00
-3.0171408E-03,-4.73027E+00
-3.0170944E-03,-2.04473E+00
-3.0170480E-03,2.34980E+00
-3.0170016E-03,7.08613E+00
-3.0169552E-03,1.09924E+01
-3.0169088E-03,1.34826E+01
-3.0168624E-03,1.37756E+01
-3.0168160E-03,1.37756E+01
-3.0167696E-03,1.37756E+01
-3.0167232E-03,1.37756E+01
-3.0166768E-03,1.37756E+01
-3.0166304E-03,1.37756E+01
-3.0165840E-03,1.37756E+01
-3.0165376E-03,1.37756E+01
-3.0164912E-03,1.30920E+01
-3.0164448E-03,1.06506E+01
-3.0163984E-03,8.25801E+00
-3.0163520E-03,5.62129E+00
-3.0163056E-03,2.83809E+00
-3.0162592E-03,-5.79883E-01
-3.0162128E-03,-3.41191E+00
-3.0161664E-03,-6.19512E+00
-3.0161200E-03,-8.29473E+00
-3.0160736E-03,-1.00525E+01
-3.0160272E-03,-1.09803E+01
-3.0159808E-03,-1.04920E+01
-3.0159344E-03,-8.34355E+00
-3.0158880E-03,-6.04863E+00
-3.0158416E-03,-5.31621E+00
-3.0157952E-03,-6.78105E+00
-3.0157488E-03,-8.53887E+00
-3.0157024E-03,-8.97832E+00
-3.0156560E-03,-7.70879E+00
-3.0156096E-03,-6.58574E+00
-3.0155632E-03,-6.34160E+00
-3.0155168E-03,-6.82988E+00
-3.0154704E-03,-6.82988E+00
-3.0154240E-03,-6.58574E+00
-3.0153776E-03,-6.63457E+00
